service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
Orange-ForestHills-Ruggles-SpgStd,0,0,0,0,0,1,0,20240420,20240427
Orange-ForestHills-Ruggles-SpringSunday,0,0,0,0,0,0,1,20240421,20240428
PRIV22024-hpa24011-Weekday-01,1,1,1,1,1,0,0,20240418,20240614
PRIV22024-hpj24011-Weekday-01,1,1,1,1,1,0,0,20240418,20240614
PRIV22024-hpp24ns1-Weekday-01,0,0,0,1,1,0,0,20240418,20240419
RTL12024-hmo14fr6-Saturday-01,0,0,0,0,0,1,0,20240420,20240427
RTL12024-hmo14fr7-Sunday-01,0,0,0,0,0,0,1,20240421,20240428
RTL22024-hmb24011-Weekday-01,1,1,1,1,1,0,0,20240501,20240614
RTL22024-hmb24016-Saturday-01,0,0,0,0,0,1,0,20240504,20240615
RTL22024-hmb24017-Sunday-01,0,0,0,0,0,0,1,20240505,20240609
RTL22024-hmb24wa1-Weekday-01,1,1,1,1,1,0,0,20240422,20240430
RTL22024-hmb24wa6-Saturday-01,0,0,0,0,0,1,0,20240420,20240427
RTL22024-hmb24wa7-Sunday-01,0,0,0,0,0,0,1,20240421,20240428
RTL22024-hmb24wm1-Weekday-01,0,0,0,1,1,0,0,20240418,20240419
RTL22024-hmo24011-Weekday-01,1,1,1,1,1,0,0,20240418,20240614
RTL22024-hmo24016-Saturday-01,0,0,0,0,0,1,0,20240504,20240615
RTL22024-hmo24017-Sunday-01,0,0,0,0,0,0,1,20240505,20240609
RTL22024-hms24011-Weekday-01,1,1,1,1,1,0,0,20240418,20240614
RTL22024-hms24016-Saturday-01,0,0,0,0,0,1,0,20240420,20240615
RTL22024-hms24017-Sunday-01,0,0,0,0,0,0,1,20240421,20240609
RTL22024-hms24pj1-Weekday-01,1,1,1,1,1,0,0,20240502,20240510
RTL22024-hms24pj6-Saturday-01,0,0,0,0,0,1,0,20240504,20240504
RTL22024-hms24pj7-Sunday-01,0,0,0,0,0,0,1,20240505,20240505
Red-AshmontParkStreetViaPostOffice-Snd,0,0,0,0,0,0,1,20240505,20240505
Red-AshmontParkStreetViaPostOffice-Std,0,0,0,0,0,1,0,20240504,20240504
Red-AshmontParkStreetViaPostOffice-Wkd,1,1,1,1,1,0,0,20240502,20240510
Red-JFKParkStreetViaPostOffice-Saturday,0,0,0,0,0,1,0,20240504,20240504
Red-JFKParkStreetViaPostOffice-Sunday,0,0,0,0,0,0,1,20240505,20240505
Red-JFKParkStreetViaPostOffice-Weekday,1,1,1,1,1,0,0,20240502,20240510
SpringSaturday,0,0,0,0,0,1,0,20240420,20240615
SpringSunday,0,0,0,0,0,0,1,20240421,20240609
SpringWeekday,1,1,1,1,1,0,0,20240422,20240614
SummerSaturday,0,0,0,0,0,1,0,20240525,20240615
canonical,0,0,0,0,0,0,0,20240418,20240615
