added_route_id,trip_id
441,62214056
442,62214056
441,62214057
442,62214057
441,62214058
442,62214058
441,62214059
442,62214059
441,62214060
442,62214060
441,62214061
442,62214061
441,62214062
442,62214062
441,62214063
442,62214063
441,62214064
442,62214064
441,62214065
442,62214065
441,62214067
442,62214067
441,62214068
442,62214068
62,61848695
76,61848695
62,61848707
76,61848707
62,61848710
76,61848710
62,61848732
76,61848732
62,61848734
76,61848734
62,61848735
76,61848735
62,61848739
76,61848739
62,61848744
76,61848744
62,61848720
76,61848720
62,61848748
76,61848748
62,61844556
76,61844556
62,61844558
76,61844558
62,61844560
76,61844560
62,61844562
76,61844562
62,61844564
76,61844564
62,61844566
76,61844566
62,61844569
76,61844569
62,61844571
76,61844571
62,61844573
76,61844573
62,61844577
76,61844577
62,61844578
76,61844578
62,61844579
76,61844579
62,61840218
76,61840218
62,61840230
76,61840230
62,61840233
76,61840233
62,61840255
76,61840255
62,61840258
76,61840258
62,61840259
76,61840259
62,61840262
76,61840262
62,61840267
76,61840267
62,61840243
76,61840243
62,61840271
76,61840271
62,61848693
76,61848693
62,61848713
76,61848713
62,61848738
76,61848738
62,61848743
76,61848743
62,61848749
76,61848749
62,61848706
76,61848706
62,61848709
76,61848709
62,61848737
76,61848737
62,61848741
76,61848741
62,61848747
76,61848747
62,61844557
76,61844557
62,61844559
76,61844559
62,61844561
76,61844561
62,61844563
76,61844563
62,61844565
76,61844565
62,61844567
76,61844567
62,61844568
76,61844568
62,61844570
76,61844570
62,61844572
76,61844572
62,61844574
76,61844574
62,61844575
76,61844575
62,61844576
76,61844576
62,61840216
76,61840216
62,61840236
76,61840236
62,61840261
76,61840261
62,61840266
76,61840266
62,61840272
76,61840272
62,61840229
76,61840229
62,61840232
76,61840232
62,61840260
76,61840260
62,61840264
76,61840264
62,61840270
76,61840270
741,61946007
742,61946007
743,61946007
741,61946008
742,61946008
743,61946008
741,61946010
742,61946010
743,61946010
741,61946012
742,61946012
743,61946012
741,61946014
742,61946014
743,61946014
741,61946016
742,61946016
743,61946016
741,61946017
742,61946017
743,61946017
741,61946019
742,61946019
743,61946019
741,61946022
742,61946022
743,61946022
741,61946023
742,61946023
743,61946023
741,61946025
742,61946025
743,61946025
741,61946027
742,61946027
743,61946027
741,61946029
742,61946029
743,61946029
741,61946031
742,61946031
743,61946031
741,61946033
742,61946033
743,61946033
741,61946035
742,61946035
743,61946035
741,61946037
742,61946037
743,61946037
741,61946039
742,61946039
743,61946039
741,61946040
742,61946040
743,61946040
741,61946042
742,61946042
743,61946042
741,61946045
742,61946045
743,61946045
741,61946047
742,61946047
743,61946047
741,61946049
742,61946049
743,61946049
741,61946051
742,61946051
743,61946051
741,61946199
742,61946199
743,61946199
741,61946200
742,61946200
743,61946200
741,61946201
742,61946201
743,61946201
741,61946202
742,61946202
743,61946202
741,61946507
742,61946507
743,61946507
741,61946508
742,61946508
743,61946508
741,61946620
742,61946620
743,61946620
741,61946626
742,61946626
743,61946626
741,61946667
742,61946667
743,61946667
741,61946713
742,61946713
743,61946713
741,61946760
742,61946760
743,61946760
741,61946768
742,61946768
743,61946768
741,61946782
742,61946782
743,61946782
741,61946798
742,61946798
743,61946798
741,61946839
742,61946839
743,61946839
741,61947220
742,61947220
743,61947220
741,61947221
742,61947221
743,61947221
