,Trip,Headsign
499,61502636,Nubian
500,61502637,Nubian
501,61502638,Nubian
502,61502639,Nubian
503,61502640,Nubian
504,61502641,Nubian
505,61502642,Nubian
506,61502643,Nubian
507,61502644,Nubian
508,61502645,Nubian
509,61502646,Nubian
510,61502647,Nubian
511,61502648,Nubian
512,61502649,Nubian
513,61502650,Nubian
514,61502651,Nubian
515,61502652,Nubian
516,61502653,Nubian
517,61502654,Nubian
518,61502655,Nubian
519,61502656,Nubian
520,61502657,Nubian
521,61502658,Nubian
522,61502659,Nubian
523,61502660,Nubian
524,61502661,Nubian
525,61502662,Nubian
526,61502663,Nubian
527,61502664,Nubian
528,61502665,Nubian
529,61502666,Nubian
530,61502667,Nubian
531,61502668,Nubian
532,61502669,Nubian
533,61502670,Nubian
534,61502671,Nubian
535,61502672,Nubian
536,61502673,Nubian
537,61502674,Nubian
538,61502675,Nubian
539,61502676,Nubian
540,61502677,Nubian
541,61502678,Nubian
542,61502679,Nubian
543,61502680,Nubian
544,61502681,Nubian
545,61502682,Nubian
546,61502683,Nubian
547,61502684,Nubian
548,61502685,Nubian
549,61502686,Nubian
550,61502687,Nubian
551,61502688,Nubian
552,61502689,Nubian
553,61502690,Nubian
554,61502691,Nubian
555,61502692,Nubian
556,61502693,Nubian
557,61502694,Nubian
558,61502695,Nubian
559,61502696,Nubian
560,61502697,Nubian
561,61502698,Nubian
562,61502699,Nubian
563,61502700,Nubian
564,61502701,Nubian
565,61502703,Nubian
566,61502704,Nubian
567,61502705,Nubian
568,61503460,Nubian
569,61532496,Nubian
570,61532499,Nubian
571,61532501,Nubian
572,61532503,Nubian
573,61532504,Nubian
574,61532508,Nubian
575,61532509,Nubian
576,61532510,Nubian
577,61532514,Nubian
578,61532515,Nubian
579,61532516,Nubian
580,61532523,Nubian
581,61532524,Nubian
582,61532525,Nubian
583,61532526,Nubian
584,61532527,Nubian
585,61532531,Nubian
586,61532533,Nubian
587,61532534,Nubian
588,61532535,Nubian
589,61532536,Nubian
590,61532540,Nubian
591,61532541,Nubian
592,61532542,Nubian
593,61532546,Nubian
594,61532547,Nubian
595,61532548,Nubian
596,61532554,Nubian
597,61532555,Nubian
598,61532557,Nubian
599,61532558,Nubian
600,61532559,Nubian
601,61532560,Nubian
602,61532562,Nubian
603,61532563,Nubian
604,61532565,Nubian
605,61532567,Nubian
606,61532572,Nubian
607,61532573,Nubian
608,61532574,Nubian
609,61532576,Nubian
610,61532580,Nubian
611,61532581,Nubian
612,61532582,Nubian
613,61532583,Nubian
614,61532587,Nubian
615,61532590,Nubian
616,61532591,Nubian
617,61532593,Nubian
618,61532594,Nubian
619,61532595,Nubian
620,61532597,Nubian
621,61532598,Nubian
622,61532600,Nubian
623,61532603,Nubian
624,61532605,Nubian
625,61532607,Nubian
626,61532608,Nubian
627,61532610,Nubian
628,61532612,Nubian
629,61532615,Nubian
630,61532617,Nubian
631,61532619,Nubian
632,61532621,Nubian
633,61532623,Nubian
634,61532624,Nubian
635,61532627,Nubian
636,61532628,Nubian
637,61532630,Nubian
638,61532632,Nubian
639,61532635,Nubian
640,61532637,Nubian
641,61533609,Nubian
642,61533612,Nubian
643,61533613,Nubian
644,61533615,Nubian
645,61533637,Nubian
646,61533639,Nubian
647,61533641,Nubian
648,61533645,Nubian
649,61533646,Nubian
650,61533821,Nubian
651,61349350,Nubian
652,61349351,Nubian
653,61349352,Nubian
654,61349353,Nubian
655,61349354,Nubian
656,61349355,Nubian
657,61349356,Nubian
658,61349357,Nubian
659,61349358,Nubian
660,61349359,Nubian
661,61349360,Nubian
662,61349361,Nubian
663,61349362,Nubian
664,61349363,Nubian
665,61349364,Nubian
666,61349365,Nubian
667,61349366,Nubian
668,61349367,Nubian
669,61349368,Nubian
670,61349369,Nubian
671,61349370,Nubian
672,61349371,Nubian
673,61349372,Nubian
674,61349373,Nubian
675,61349374,Nubian
676,61349375,Nubian
677,61349376,Nubian
678,61349377,Nubian
679,61349378,Nubian
680,61349379,Nubian
681,61349380,Nubian
682,61349381,Nubian
683,61349382,Nubian
684,61349383,Nubian
685,61349384,Nubian
686,61349385,Nubian
687,61349386,Nubian
688,61349387,Nubian
689,61349388,Nubian
690,61349389,Nubian
691,61349390,Nubian
692,61349391,Nubian
693,61349392,Nubian
694,61349393,Nubian
695,61349394,Nubian
696,61349395,Nubian
697,61349396,Nubian
698,61349397,Nubian
699,61349398,Nubian
700,61349399,Nubian
701,61349400,Nubian
702,61349401,Nubian
703,61349402,Nubian
704,61349403,Nubian
705,61349404,Nubian
706,61349405,Nubian
707,61349406,Nubian
708,61349407,Nubian
709,61349408,Nubian
710,61349409,Nubian
711,61349410,Nubian
712,61349411,Nubian
713,61349412,Nubian
714,61349413,Nubian
715,61349414,Nubian
716,61349415,Nubian
717,61349416,Nubian
718,61349417,Nubian
719,61349418,Nubian
720,61349419,Nubian
721,61349420,Nubian
722,61349421,Nubian
723,61349422,Nubian
724,61349423,Nubian
725,61349424,Nubian
726,61349425,Nubian
727,61349426,Nubian
728,61349427,Nubian
729,61349428,Nubian
730,61349429,Nubian
731,61349430,Nubian
732,61349431,Nubian
733,61349432,Nubian
734,61349433,Nubian
735,61349434,Nubian
736,61349435,Nubian
737,61349436,Nubian
738,61349437,Nubian
739,61349438,Nubian
740,61349439,Nubian
741,61349440,Nubian
742,61349441,Nubian
743,61349442,Nubian
744,61349443,Nubian
745,61349445,Nubian
746,61349937,Nubian
747,61349939,Nubian
748,61579172,Nubian
749,61579175,Nubian
750,61579177,Nubian
751,61579179,Nubian
752,61579180,Nubian
753,61579184,Nubian
754,61579185,Nubian
755,61579186,Nubian
756,61579190,Nubian
757,61579191,Nubian
758,61579192,Nubian
759,61579199,Nubian
760,61579200,Nubian
761,61579201,Nubian
762,61579202,Nubian
763,61579203,Nubian
764,61579207,Nubian
765,61579209,Nubian
766,61579210,Nubian
767,61579211,Nubian
768,61579212,Nubian
769,61579216,Nubian
770,61579217,Nubian
771,61579218,Nubian
772,61579222,Nubian
773,61579223,Nubian
